"year","barkbeetle","wind","landscape_volume_yearstart","impact","relimpact","model","mgm","rcp","windcase"
75,0.547659552084252,0.0111144019265346,238.898548632329,0.558773954010787,0.233895918250535,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
76,0.346570622594129,0,246.238676970675,0.346570622594129,0.140745810876576,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
77,0.202892162024823,0.211410634330932,257.86404047379,0.414302796355755,0.160667146762507,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
78,0.147472410611101,0,262.111085678283,0.147472410611101,0.0562633244715598,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
79,0.146719122299591,0,268.76970593728,0.146719122299591,0.0545891590675884,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
80,0.13290804038896,0,269.816333154303,0.13290804038896,0.0492587082609829,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
81,0.0987769085948131,0,268.780261575358,0.0987769085948131,0.0367500604456102,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
82,0.132286012148292,1.95176279959403,272.595246658006,2.08404881174232,0.764521332375594,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
83,0.172009797036977,0,265.84714496199,0.172009797036977,0.0647025180810462,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
84,0.285134654971374,0,267.530223161636,0.285134654971374,0.106580352530526,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
85,0.245532505420672,0,268.176897826702,0.245532505420672,0.0915561733357573,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
86,0.282970297388523,0,266.861026535611,0.282970297388523,0.106036576813798,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
87,0.236363968607181,0.331143359871358,260.933572846243,0.567507328478538,0.217491111737065,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
88,0.197887503869096,0,262.43206171821,0.197887503869096,0.0754052315763081,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
89,0.316894278893549,0,262.812161368052,0.316894278893549,0.120578240079902,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
90,0.282251317483164,0,262.716923766753,0.282251317483164,0.107435529251916,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
91,0.127808155241071,0.679480410219468,265.668408101535,0.807288565460539,0.303870742942083,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
92,0.0611829196445633,0,277.363795032069,0.0611829196445633,0.022058726027126,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
93,0.0978897717107705,0,278.09891394185,0.0978897717107705,0.0351996238759994,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
94,0.0951498730472219,0,286.870215138745,0.0951498730472219,0.0331682649595402,"HadGEM2_CCLM","CONSERVATION","rcp45","w8"
