"","rcp","model","mgm","windcase","name","value","minfornorm","max","value.normalized1"
"509","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","impact",1.32905061803219,0,4.92439027259723,0.269891406744904
"510","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","NEP",223.268344272786,-388.953367502547,1217.44739498192,0.381113932508641
"511","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","standing.volume.decidious",62.9513902725447,0,128.822861263404,0.48866629459369
"512","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","BA.decidious",6.99612730290377,0,12.4483497074567,0.562012432757494
"513","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","deadwood.c.ag",14986.2998256561,0,37854.244296677,0.395894835680862
"514","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","carbonstock",285080.560707612,0,387627.943172939,0.735448942029509
"515","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","shannon_BA_landscape",1.68039879923489,0,2.12717269598936,0.789968206344114
"516","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","shannon_VOL_landscape",1.60210217639206,0,2.0661929449391,0.775388465204192
"517","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","annual.harvest",7.44112654145276,0,9.16575488718929,0.811840010237782
"518","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","standing.volume",271.083413119786,0,483.94324804852,0.560155378162455
"519","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","LAI",3.53159547288543,0,4.68851564070693,0.753243828861993
"520","rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9","annual.increment",13.185212453459,0,14.5910502388423,0.903650678849632
"521","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","nat.mortality.volperha",3.64478810714444,0,5.61844159386771,0.648718696501637
"522","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","impact",2.49626810485774,0,4.92439027259723,0.506919225868172
"523","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","NEP",241.655808599382,-388.953367502547,1217.44739498192,0.392560306760953
"524","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","standing.volume.decidious",96.8718097157363,0,128.822861263404,0.751976852289149
"525","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","BA.decidious",9.94272678766953,0,12.4483497074567,0.798718466409547
"526","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","deadwood.c.ag",19543.1670411449,0,37854.244296677,0.516274130001864
"527","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","carbonstock",315428.563700593,0,387627.943172939,0.813740519113882
"528","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","shannon_BA_landscape",1.96194071367024,0,2.12717269598936,0.92232319330224
"529","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","shannon_VOL_landscape",1.845283164858,0,2.0661929449391,0.893083663545464
"530","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","annual.harvest",5.37004762881581,0,9.16575488718929,0.585881653492761
"531","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","standing.volume",332.059071334304,0,483.94324804852,0.686152917048265
"532","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","LAI",3.56234567781404,0,4.68851564070693,0.75980245152321
"533","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5","annual.increment",12.2259907079973,0,14.5910502388423,0.837910260595973
"534","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","nat.mortality.volperha",3.5003516600338,0,5.61844159386771,0.62301113245607
"535","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","impact",2.8083152197816,0,4.92439027259723,0.570286891233832
"536","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","NEP",74.6438910979083,-388.953367502547,1217.44739498192,0.28859377399912
"537","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","standing.volume.decidious",96.106203173449,0,128.822861263404,0.74603375698154
"538","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","BA.decidious",9.84154680512847,0,12.4483497074567,0.790590482787714
"539","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","deadwood.c.ag",19923.2805481469,0,37854.244296677,0.526315632984275
"540","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","carbonstock",312123.768858634,0,387627.943172939,0.805214831272835
"541","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","shannon_BA_landscape",1.96486036365092,0,2.12717269598936,0.923695742877637
"542","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","shannon_VOL_landscape",1.8472765844842,0,2.0661929449391,0.89404844257594
"543","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","annual.harvest",5.43250012254252,0,9.16575488718929,0.592695330543409
"544","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","standing.volume",323.33947535457,0,483.94324804852,0.668135110177531
"545","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","LAI",3.4775479221449,0,4.68851564070693,0.741716182399374
"546","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6","annual.increment",12.2430288753265,0,14.5910502388423,0.839077974163554
"547","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","nat.mortality.volperha",3.51939204534446,0,5.61844159386771,0.626400041104944
"548","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","impact",2.66973410874259,0,4.92439027259723,0.542145110552848
"549","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","NEP",-22.0589637049586,-388.953367502547,1217.44739498192,0.228395312281942
"550","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","standing.volume.decidious",97.3570763839419,0,128.822861263404,0.755743782036295
"551","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","BA.decidious",9.95351223018529,0,12.4483497074567,0.799584881859725
"552","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","deadwood.c.ag",20268.3121591381,0,37854.244296677,0.535430373415679
"553","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","carbonstock",314936.469858001,0,387627.943172939,0.812471018678581
"554","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","shannon_BA_landscape",1.96132685266355,0,2.12717269598936,0.92203461259234
"555","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","shannon_VOL_landscape",1.84893820033988,0,2.0661929449391,0.894852634585091
"556","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","annual.harvest",5.53981434424764,0,9.16575488718929,0.604403501122475
"557","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","standing.volume",328.502126367038,0,483.94324804852,0.678802995375405
"558","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","LAI",3.51503959223618,0,4.68851564070693,0.749712672752477
"559","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7","annual.increment",12.1705716284041,0,14.5910502388423,0.83411210496728
